"PLANT","DTSTART","DTEND","NDELAYCODE","DELAYCOMMENT","COILID1","DTSTORE"
1,"05.10.16 12:09","05.10.16 12:16",0,,,"05.10.16 12:21"
3,"05.10.16 12:16","05.10.16 12:23",0,,,"05.10.16 12:23"
1,"05.10.16 12:23","05.10.16 12:36",0,,,"05.10.16 12:41"
3,"05.10.16 12:36","05.10.16 12:45",0,,,"05.10.16 12:45"
1,"05.10.16 12:45","05.10.16 12:47",0,,,"05.10.16 12:52"
3,"05.10.16 12:47","05.10.16 12:58",0,,,"05.10.16 12:58"
1,"05.10.16 12:58","05.10.16 13:28",0,,,"05.10.16 13:33"
3,"05.10.16 13:28","05.10.16 13:36",0,,,"05.10.16 13:36"
1,"05.10.16 13:36","05.10.16 14:03",0,,,"05.10.16 14:08"
3,"05.10.16 14:03","05.10.16 14:09",0,,,"05.10.16 14:09"
1,"05.10.16 14:09","05.10.16 14:15",0,,,"05.10.16 14:20"
3,"05.10.16 14:15","05.10.16 14:20",0,,,"05.10.16 14:20"
1,"05.10.16 14:20","05.10.16 14:25",0,,,"05.10.16 14:30"
3,"05.10.16 14:25","05.10.16 14:34",0,,,"05.10.16 14:34"
1,"05.10.16 14:34","05.10.16 14:54",0,,,"05.10.16 14:59"
1,"05.10.16 15:01","06.10.16 07:21",0,,,"06.10.16 07:26"
2,"06.10.16 07:08","06.10.16 07:17",0,,,"06.10.16 07:17"
2,"06.10.16 09:11","06.10.16 09:13",0,,,"06.10.16 09:18"
2,"06.10.16 07:29","06.10.16 07:36",0,,,"06.10.16 07:41"
3,"06.10.16 07:36","06.10.16 07:47",0,,,"06.10.16 07:47"
1,"06.10.16 07:47","06.10.16 07:56",0,,,"06.10.16 08:01"
2,"06.10.16 08:00","06.10.16 08:09",0,,,"06.10.16 08:09"
1,"06.10.16 08:10","06.10.16 08:16",0,,,"06.10.16 08:22"
1,"06.10.16 09:31","06.10.16 10:25",0,,,"06.10.16 10:30"
3,"06.10.16 09:13","06.10.16 09:31",0,,,"06.10.16 09:31"
3,"06.10.16 10:25","06.10.16 10:42",0,,,"06.10.16 10:42"
3,"06.10.16 10:54","06.10.16 11:03",0,,,"06.10.16 11:02"
1,"06.10.16 10:42","06.10.16 10:42",0,,,"06.10.16 10:47"
1,"06.10.16 10:51","06.10.16 10:54",0,,,"06.10.16 10:59"
3,"06.10.16 11:33","06.10.16 11:45",0,,,"06.10.16 11:45"
1,"06.10.16 11:03","06.10.16 11:03",0,,,"06.10.16 11:08"
1,"06.10.16 11:26","06.10.16 11:33",0,,,"06.10.16 11:38"
1,"06.10.16 11:52","06.10.16 12:01",0,,,"06.10.16 12:06"
1,"06.10.16 11:45","06.10.16 11:45",0,,,"06.10.16 11:50"
1,"06.10.16 12:07","06.10.16 12:36",0,,,"06.10.16 12:41"
1,"06.10.16 12:52","06.10.16 12:57",0,,,"06.10.16 13:02"
2,"06.10.16 13:08","06.10.16 13:10",0,,,"06.10.16 13:15"
1,"06.10.16 13:53","06.10.16 14:03",0,,,"06.10.16 14:08"
3,"06.10.16 13:10","06.10.16 13:20",0,,,"06.10.16 13:20"
1,"06.10.16 13:20","06.10.16 13:21",0,,,"06.10.16 13:26"
2,"06.10.16 13:49","06.10.16 13:58",0,,,"06.10.16 13:58"
3,"06.10.16 14:03","06.10.16 14:18",0,,,"06.10.16 14:18"
1,"06.10.16 14:18","06.10.16 14:20",0,,,"06.10.16 14:25"
3,"06.10.16 14:20","06.10.16 14:26",0,,,"06.10.16 14:26"
1,"06.10.16 14:26","06.10.16 14:27",0,,,"06.10.16 14:32"
3,"06.10.16 14:27","07.10.16 06:15",0,,,"07.10.16 06:15"
1,"07.10.16 06:15","07.10.16 06:18",0,,,"07.10.16 06:23"
3,"07.10.16 06:18","07.10.16 06:25",0,,,"07.10.16 06:24"
1,"07.10.16 06:37","07.10.16 06:46",0,,,"07.10.16 06:50"
1,"07.10.16 06:25","07.10.16 06:30",0,,,"07.10.16 06:35"
3,"07.10.16 10:25","07.10.16 12:21",0,,,"07.10.16 12:21"
3,"07.10.16 06:46","07.10.16 06:51",0,,,"07.10.16 06:51"
1,"07.10.16 06:51","07.10.16 06:58",0,,,"07.10.16 07:03"
2,"07.10.16 08:30","07.10.16 08:41",0,,,"07.10.16 08:41"
2,"07.10.16 10:23","07.10.16 10:25",0,,,"07.10.16 10:30"
3,"07.10.16 12:26","07.10.16 12:38",0,,,"07.10.16 12:38"
1,"07.10.16 12:21","07.10.16 12:26",0,,,"07.10.16 12:31"
1,"07.10.16 12:38","07.10.16 12:54",0,,,"07.10.16 12:58"
3,"07.10.16 12:54","07.10.16 14:06",0,,,"07.10.16 14:06"
1,"07.10.16 14:51","07.10.16 14:56",0,,,"07.10.16 15:00"
1,"07.10.16 14:06","07.10.16 14:39",0,,,"07.10.16 14:44"
3,"10.10.16 07:55","10.10.16 08:03",0,,,"10.10.16 08:03"
3,"07.10.16 14:56","10.10.16 06:10",0,,,"10.10.16 06:10"
1,"10.10.16 06:10","10.10.16 06:15",0,,,"10.10.16 06:20"
2,"10.10.16 06:39","10.10.16 06:45",0,,,"10.10.16 06:45"
2,"10.10.16 07:53","10.10.16 07:55",0,,,"10.10.16 08:00"
1,"10.10.16 08:03","10.10.16 08:06",0,,,"10.10.16 08:11"
1,"10.10.16 08:31","10.10.16 08:35",0,,,"10.10.16 08:40"
1,"10.10.16 13:11","10.10.16 13:13",0,,,"10.10.16 13:18"
3,"10.10.16 08:35","10.10.16 08:59",0,,,"10.10.16 08:59"
1,"10.10.16 08:59","10.10.16 09:01",0,,,"10.10.16 09:06"
1,"10.10.16 13:19","10.10.16 13:23",0,,,"10.10.16 13:28"
3,"10.10.16 13:13","10.10.16 13:19",0,,,"10.10.16 13:19"
3,"10.10.16 13:23","10.10.16 13:44",0,,,"10.10.16 13:43"
1,"10.10.16 14:03","10.10.16 14:08",0,,,"10.10.16 14:13"
1,"10.10.16 13:44","10.10.16 13:45",0,,,"10.10.16 13:50"
2,"10.10.16 15:19","10.10.16 15:23",0,,,"10.10.16 15:28"
3,"10.10.16 14:08","10.10.16 14:16",0,,,"10.10.16 14:16"
1,"10.10.16 14:16","10.10.16 14:44",0,,,"10.10.16 14:49"
3,"10.10.16 15:23","11.10.16 05:53",0,,,"11.10.16 05:53"
3,"11.10.16 05:57","11.10.16 06:14",0,,,"11.10.16 06:14"
1,"11.10.16 05:53","11.10.16 05:57",0,,,"11.10.16 06:02"
1,"11.10.16 08:07","11.10.16 08:11",0,,,"11.10.16 08:16"
1,"11.10.16 06:14","11.10.16 06:21",0,,,"11.10.16 06:26"
2,"11.10.16 08:55","11.10.16 09:22",0,,,"11.10.16 09:22"
3,"11.10.16 08:11","11.10.16 08:20",0,,,"11.10.16 08:20"
1,"11.10.16 08:20","11.10.16 08:19",0,,,"11.10.16 08:24"
2,"11.10.16 08:36","11.10.16 08:50",0,,,"11.10.16 08:50"
2,"11.10.16 09:25","11.10.16 10:15",0,,,"11.10.16 10:15"
2,"11.10.16 10:20","11.10.16 10:49",0,,,"11.10.16 10:49"
3,"11.10.16 11:05","11.10.16 11:35",0,,,"11.10.16 11:35"
2,"11.10.16 11:03","11.10.16 11:05",0,,,"11.10.16 11:10"
3,"11.10.16 11:42","11.10.16 11:48",0,,,"11.10.16 11:48"
1,"11.10.16 11:35","11.10.16 11:42",0,,,"11.10.16 11:47"
1,"11.10.16 11:48","11.10.16 11:48",0,,,"11.10.16 11:53"
3,"11.10.16 11:48","11.10.16 11:55",0,,,"11.10.16 11:55"
2,"11.10.16 12:07","11.10.16 12:07",0,,,"11.10.16 12:13"
1,"11.10.16 11:55","11.10.16 11:55",0,,,"11.10.16 12:00"
3,"11.10.16 12:07","11.10.16 12:16",0,,,"11.10.16 12:16"
3,"11.10.16 12:17","11.10.16 12:28",0,,,"11.10.16 12:28"
1,"11.10.16 12:16","11.10.16 12:17",0,,,"11.10.16 12:22"
2,"11.10.16 12:38","11.10.16 12:38",0,,,"11.10.16 12:43"
1,"11.10.16 12:28","11.10.16 12:28",0,,,"11.10.16 12:33"
3,"11.10.16 12:38","11.10.16 12:47",0,,,"11.10.16 12:47"
1,"11.10.16 12:47","11.10.16 12:50",0,,,"11.10.16 12:55"
2,"11.10.16 13:18","11.10.16 13:20",0,,,"11.10.16 13:25"
3,"11.10.16 13:20","11.10.16 13:29",0,,,"11.10.16 13:29"
1,"11.10.16 13:29","11.10.16 13:31",0,,,"11.10.16 13:36"
3,"11.10.16 14:21","11.10.16 14:28",0,,,"11.10.16 14:28"
2,"11.10.16 14:11","11.10.16 14:16",0,,,"11.10.16 14:16"
1,"11.10.16 14:14","11.10.16 14:21",0,,,"11.10.16 14:26"
2,"11.10.16 15:04","11.10.16 15:28",0,,,"11.10.16 15:28"
1,"11.10.16 14:28","11.10.16 14:34",0,,,"11.10.16 14:39"
2,"12.10.16 06:29","12.10.16 07:32",0,,,"12.10.16 07:32"
3,"05.09.16 12:54","05.09.16 12:59",0,,,"05.09.16 13:04"
2,"05.09.16 12:59","05.09.16 13:08",0,,,"05.09.16 13:13"
3,"05.09.16 13:08","05.09.16 14:11",0,,,"05.09.16 14:16"
2,"05.09.16 14:11","05.09.16 14:18",0,,,"05.09.16 14:23"
3,"05.09.16 14:18","05.09.16 14:30",0,,,"05.09.16 14:35"
2,"05.09.16 14:30","05.09.16 14:43",0,,,"05.09.16 14:48"
3,"05.09.16 14:43","06.09.16 06:27",0,,,"06.09.16 06:32"
2,"06.09.16 06:27","06.09.16 06:39",0,,,"06.09.16 06:44"
3,"06.09.16 06:39","06.09.16 07:02",0,,,"06.09.16 07:07"
2,"06.09.16 07:02","06.09.16 07:09",0,,,"06.09.16 07:14"
3,"06.09.16 07:09","06.09.16 07:32",0,,,"06.09.16 07:37"
2,"06.09.16 07:32","06.09.16 07:41",0,,,"06.09.16 07:46"
3,"06.09.16 07:41","06.09.16 09:04",0,,,"06.09.16 09:09"
2,"06.09.16 09:04","06.09.16 09:14",0,,,"06.09.16 09:19"
3,"06.09.16 09:14","06.09.16 09:55",0,,,"06.09.16 10:00"
2,"06.09.16 09:55","06.09.16 10:08",0,,,"06.09.16 10:13"
3,"06.09.16 10:08","06.09.16 10:59",0,,,"06.09.16 11:04"
2,"06.09.16 10:59","06.09.16 11:30",0,,,"06.09.16 11:35"
3,"06.09.16 11:30","07.09.16 06:02",0,,,"07.09.16 06:07"
2,"07.09.16 06:02","07.09.16 06:20",0,,,"07.09.16 06:25"
3,"07.09.16 06:20","07.09.16 06:31",0,,,"07.09.16 06:36"
2,"07.09.16 06:31","07.09.16 06:38",0,,,"07.09.16 06:43"
2,"07.09.16 08:05","07.09.16 08:21",0,,,"07.09.16 08:26"
3,"07.09.16 07:49","07.09.16 08:05",0,,,"07.09.16 08:10"
3,"07.09.16 08:21","07.09.16 08:55",0,,,"07.09.16 09:00"
2,"07.09.16 08:55","07.09.16 09:20",0,,,"07.09.16 09:25"
3,"07.09.16 09:20","07.09.16 10:35",0,,,"07.09.16 10:40"
2,"07.09.16 10:35","07.09.16 10:48",0,,,"07.09.16 10:53"
3,"07.09.16 10:48","07.09.16 11:20",0,,,"07.09.16 11:25"
2,"07.09.16 11:20","07.09.16 11:26",0,,,"07.09.16 11:31"
3,"07.09.16 11:26","07.09.16 11:40",0,,,"07.09.16 11:45"
2,"07.09.16 11:40","07.09.16 11:59",0,,,"07.09.16 12:04"
3,"07.09.16 12:29","07.09.16 13:06",0,,,"07.09.16 13:11"
2,"07.09.16 12:19","07.09.16 12:29",0,,,"07.09.16 12:34"
2,"07.09.16 13:06","07.09.16 13:12",0,,,"07.09.16 13:17"
3,"07.09.16 13:12","07.09.16 14:19",0,,,"07.09.16 14:24"
2,"07.09.16 14:19","07.09.16 14:24",0,,,"07.09.16 14:30"
3,"07.09.16 14:24","07.09.16 14:57",0,,,"07.09.16 15:02"
2,"07.09.16 14:57","07.09.16 15:02",0,,,"07.09.16 15:07"
3,"07.09.16 15:02","07.09.16 15:07",0,,,"07.09.16 15:12"
2,"07.09.16 15:07","07.09.16 15:13",0,,,"07.09.16 15:18"
1,"29.09.16 10:37","29.09.16 10:46",0,,,"29.09.16 10:51"
1,"29.09.16 13:37","29.09.16 13:46",0,,,"29.09.16 13:51"
1,"30.09.16 13:57","30.09.16 14:15",0,,,"30.09.16 14:20"
1,"04.10.16 13:27","04.10.16 13:41",0,,,"04.10.16 13:46"
1,"10.10.16 06:42","10.10.16 06:47",0,,,"10.10.16 06:52"
2,"12.10.16 10:12","12.10.16 10:14",0,,,"12.10.16 10:19"
3,"12.10.16 10:47","12.10.16 11:05",0,,,"12.10.16 11:05"
3,"12.10.16 10:14","12.10.16 10:23",0,,,"12.10.16 10:23"
1,"12.10.16 10:23","12.10.16 10:24",0,,,"12.10.16 10:29"
1,"12.10.16 10:42","12.10.16 10:47",0,,,"12.10.16 10:52"
1,"12.10.16 12:15","12.10.16 12:27",0,,,"12.10.16 12:32"
