"COILIDOUT","COILIDIN","ALLOYCODE","ENTRYTHICK","EXITTHICK","ENTRYWIDTH","ENTRYDIAMPDI","EXITWEIGHTMEAS","DTSTARTROLL","DTDEPARTURE","DTENDROLLING","LENGTHPHASEEXIT","LENGTHTHICKTOL"
"1800059800B1R0","1800059800Y100",SPCC,3.5,0.8,1285,1781,1381.96324809041,"28.03.18 11:51","28.03.18 15:59","03.28.18 12:44",0,0
"1800051700B100","1800051700Y100",SPCC,5,1.36,1285,1823,20590.8403107266,"28.03.18 18:15","28.03.18 21:21","03.28.18 18:40",1121.15844726563,1.15135192871094
"1800054800B100","1800054800Y100",SPCC,2,0.4,1285,1826,19156.4075684111,"27.03.18 08:20","27.03.18 14:50","03.27.18 10:14",4358.93017578125,0
"1800053400B100","1800053400Y100",SPCC,5,1.2,1285,1813,20254.8113870878,"28.03.18 15:07","28.03.18 17:15","03.28.18 15:39",1085.02392578125,1.21875
"1800059200B100","1800059200Y100",SPCC,4.5,1,1285,1797,19931.1806873006,"28.03.18 14:38","28.03.18 17:10","03.28.18 15:31",1320.21496582031,2.19558715820313
"1800053200B100","1800053200Y100",SPCC,5,1.2,1285,1810,20146.7208960274,"28.03.18 14:15","28.03.18 16:40","03.28.18 15:09",757.830871582031,0.80926513671875
"1800060100B100","1800060100Y100",SPCC,4.5,1,1285,1792,19811.0629700218,"28.03.18 19:04","28.03.18 21:34","03.28.18 19:44",224.586227416992,0.1331787109375
"1800058100B100","1800058100Y100",SPCC,5,1.2,1285,1802,20158.5720816366,"28.03.18 17:10","28.03.18 20:42","03.28.18 17:37",611.471252441406,0.512969970703125
"1800059000B100","1800059000Y100",SPCC,4.5,1,1285,1789,19702.1967406548,"28.03.18 08:12","28.03.18 15:15","03.28.18 11:30",1540.58947753906,1.95123291015625
"1800052600B100","1800052600Y100",SPCC,5,1.36,1285,1819,20663.4291758554,"28.03.18 18:23","28.03.18 21:28","03.28.18 19:03",1035.11596679687,1.04498291015625
"1800053600B100","1800053600Y100",SPCC,5,1.2,1285,1809,20354.8973095199,"28.03.18 15:21","28.03.18 17:20","03.28.18 15:57",1185.75915527344,1.2576904296875
"1800059700B100","1800059700Y100",SPCC,3.5,0.8,1285,1788,19619.8682573612,"28.03.18 11:41","28.03.18 15:46","03.28.18 12:42",1916.00341796875,2.42798614501953
